start_ip,end_ip,join_key,city,region,country,latitude,longitude,postal_code,timezone
103.173.4.0,103.173.4.255,103.173.0.0,Irosin,Bicol,PH,12.70013,124.03221,4707,Asia/Manila
107.85.182.0,107.85.182.127,107.85.0.0,Nashville,Tennessee,US,36.16589,-86.78444,37201,America/Chicago
104.235.47.12,104.235.47.19,104.235.0.0,Belvidere,Illinois,US,42.26391,-88.84427,61008,America/Chicago
1.254.61.83,1.254.61.83,1.254.0.0,Byeonggok,Gyeongsangnam-do,KR,35.53064,127.68155,50027,Asia/Seoul
107.197.146.48,107.197.146.63,107.197.0.0,Orosi,California,US,36.54495,-119.28734,93647,America/Los_Angeles
103.77.205.0,103.77.205.255,103.77.0.0,Makassar,South Sulawesi,ID,-5.14861,119.43194,,Asia/Makassar
1.157.229.0,1.157.229.22,1.157.0.0,Sydney,New South Wales,AU,-33.89072,151.26472,2026,Australia/Sydney
106.70.30.191,106.70.30.213,106.70.0.0,Brisbane,Queensland,AU,-27.316,153.013,4036,Australia/Brisbane
102.168.174.34,102.168.174.34,102.168.0.0,Sousse,Sūsah,TN,35.82539,10.63699,,Africa/Tunis
101.112.117.184,101.112.117.191,101.112.0.0,Sydney,New South Wales,AU,-33.86785,151.20732,1001,Australia/Sydney
106.181.101.45,106.181.101.46,106.181.0.0,Hiroshima,Hiroshima,JP,34.4,132.45,730-0011,Asia/Tokyo
1.159.158.216,1.159.158.217,1.159.0.0,Perth,Western Australia,AU,-31.9344,115.8716,6929,Australia/Perth
101.109.39.131,101.109.39.131,101.109.0.0,Kabin Buri,Prachin Buri,TH,13.95114,101.71769,25110,Asia/Bangkok
103.116.142.0,103.116.143.255,103.116.0.0,Mumbai,Maharashtra,IN,19.07283,72.88261,400070,Asia/Kolkata
1.46.82.105,1.46.82.105,1.46.0.0,Phanom Sarakham,Chachoengsao,TH,13.74872,101.34888,24120,Asia/Bangkok
102.106.40.14,102.106.40.14,102.106.0.0,Sfax,Şafāqis,TN,34.74056,10.76028,,Africa/Tunis
101.177.8.14,101.177.8.15,101.177.0.0,Townsville,Queensland,AU,-19.28552,146.78998,4812,Australia/Brisbane
105.93.246.32,105.93.246.32,105.93.0.0,Cairo,Cairo,EG,30.06263,31.24967,,Africa/Cairo
109.119.57.16,109.119.57.31,109.119.0.0,Ivrea,Piedmont,IT,45.46723,7.87617,10015,Europe/Rome
104.159.127.237,104.159.127.255,104.159.0.0,Winnipeg,Manitoba,CA,49.8844,-97.14704,R3B,America/Winnipeg
103.235.8.108,103.235.8.111,103.235.0.0,Aurangabad,Maharashtra,IN,19.87757,75.34226,431007,Asia/Kolkata
103.14.80.148,103.14.80.199,103.14.0.0,Hamada,Shimane,JP,34.8281,132.1391,697-8585,Asia/Tokyo
102.168.59.230,102.168.59.230,102.168.0.0,Sousse,Sūsah,TN,35.82539,10.63699,,Africa/Tunis
101.173.104.80,101.173.104.95,101.173.0.0,Churchill,Victoria,AU,-38.30776,146.41367,3842,Australia/Melbourne
109.145.232.248,109.145.232.251,109.145.0.0,Alsager,England,GB,53.09617,-2.30649,ST7,Europe/London
108.87.66.0,108.87.66.255,108.87.0.0,Southaven,Mississippi,US,34.98898,-90.01259,38671,America/Chicago
106.154.63.85,106.154.63.85,106.154.0.0,Yokohama,Kanagawa,JP,35.43333,139.65,220-8588,Asia/Tokyo
101.179.2.192,101.179.2.195,101.179.0.0,Narangba,Queensland,AU,-27.1912,153.0232,4508,Australia/Brisbane
101.128.239.56,101.128.239.59,101.128.0.0,Miyako,Iwate,JP,39.691,141.939,027-0097,Asia/Tokyo
106.217.47.216,106.217.47.255,106.217.0.0,Bengaluru,Karnataka,IN,12.97194,77.59369,560002,Asia/Kolkata
102.106.214.128,102.106.214.255,102.106.0.0,As Sanad,Gafsa,TN,34.4628,9.26404,,Africa/Tunis
101.136.74.98,101.136.74.103,101.136.0.0,Taoyuan City,Taiwan,TW,24.99368,121.29696,,Asia/Taipei
102.170.192.12,102.170.192.12,102.170.0.0,Sfax,Şafāqis,TN,34.74056,10.76028,,Africa/Tunis
104.181.16.52,104.181.16.53,104.181.0.0,North Enid,Oklahoma,US,36.43559,-97.86895,73701,America/Chicago
1.121.142.0,1.121.142.55,1.121.0.0,Adelaide,South Australia,AU,-34.865,138.63705,5086,Australia/Adelaide
102.110.170.156,102.110.170.156,102.110.0.0,Sousse,Sūsah,TN,35.82539,10.63699,,Africa/Tunis
101.182.145.0,101.182.145.191,101.182.0.0,Brisbane,Queensland,AU,-27.4679,153.0281,9019,Australia/Brisbane
104.189.116.93,104.189.117.255,104.189.0.0,McKinney,Texas,US,33.1976,-96.6153,75070,America/Chicago
102.106.115.252,102.106.115.252,102.106.0.0,Sfax,Şafāqis,TN,34.74056,10.76028,,Africa/Tunis
109.118.165.240,109.118.165.243,109.118.0.0,Rome,Lazio,IT,41.89193,12.51133,00118,Europe/Rome
106.68.72.0,106.68.72.255,106.68.0.0,Perth,Western Australia,AU,-32.13531,115.851,6164,Australia/Perth
104.254.103.101,104.254.103.101,104.254.0.0,Fresno,California,US,36.74773,-119.77237,93737,America/Los_Angeles
1.109.93.0,1.109.93.7,1.109.0.0,Seosan,Chungcheongnam-do,KR,36.78167,126.45222,31969,Asia/Seoul
102.170.231.249,102.170.231.249,102.170.0.0,Sousse,Sūsah,TN,35.82539,10.63699,,Africa/Tunis
109.139.13.124,109.139.13.143,109.139.0.0,Brussels,Brussels Capital,BE,50.85045,4.34878,1000,Europe/Brussels
1.47.131.112,1.47.131.127,1.47.0.0,Phon Phisai,Nong Khai,TH,18.02106,103.07664,43120,Asia/Bangkok
106.245.56.0,106.245.56.255,106.245.0.0,Goyang-si,Gyeonggi-do,KR,37.7108,126.7437,10905,Asia/Seoul
102.109.26.206,102.109.26.206,102.109.0.0,Sousse,Sūsah,TN,35.82539,10.63699,,Africa/Tunis
101.176.141.184,101.176.141.191,101.176.0.0,Maitland,New South Wales,AU,-32.73308,151.5574,2320,Australia/Sydney
